# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.0
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.214937497121558518e-01 2.055491206494280444e-03 7.282034047607316429e-01 2.870025836623886929e-03 2.547602752043462093e+00 1.390421115416599629e-01 2.659164301177596723e+00 2.010774157388509065e-01
7.221122301215846528e-01 2.085794946677137912e-03 7.262699053636059165e-01 2.836388465521056616e-03 2.495835474978396196e+00 1.397111239767874491e-01 2.757698688275053822e+00 2.027593957072431896e-01
7.228462911361170917e-01 2.080261956816249411e-03 7.253556831744353284e-01 2.857317779483544394e-03 2.493701842227228127e+00 1.387973870693660905e-01 2.804906378391465616e+00 2.051979524826786083e-01
7.217971063591948067e-01 2.073394721994851163e-03 7.288925436057858143e-01 2.853484807184310593e-03 2.475352678382248151e+00 1.403718962744969212e-01 2.911228225695131844e+00 1.988709157194644972e-01
7.211752758227051308e-01 2.076537000386802397e-03 7.304745474956733098e-01 2.854407631348333634e-03 2.448382218074863115e+00 1.410321892120334208e-01 2.978287023324030169e+00 1.000000000000000000e+00
7.205827947861975780e-01 2.075298333139239879e-03 7.317740038392036572e-01 2.840375210716517169e-03 2.396473071162715129e+00 1.402942898305510611e-01 3.151046904689239092e+00 2.005613796077049815e-01
7.204476183793788735e-01 2.073857187468376023e-03 7.315829993996558755e-01 2.863053816485591763e-03 2.402861131023835473e+00 1.410724711405735299e-01 3.060939353143940611e+00 1.990363952563606043e-01
7.208450965144702627e-01 2.049918638991790002e-03 7.313765968397125672e-01 2.938027331925256117e-03 2.447906543934346146e+00 1.402649949266422946e-01 2.974976617380286736e+00 2.006856369449791788e-01
7.197339500680621782e-01 2.061552654327065102e-03 7.332281848524403456e-01 2.957676275693912806e-03 2.400633023780839093e+00 1.421197879286552612e-01 3.011041244727789667e+00 1.000000000000000000e+00
7.199806232039838161e-01 2.062981439781551209e-03 7.328612493602512101e-01 2.934306167592058093e-03 2.435304085460400447e+00 1.428373707088470834e-01 2.947312722784128702e+00 1.946615354844126733e-01
7.184991733161816274e-01 2.036114925667206841e-03 7.368905539195277354e-01 3.010767896828716456e-03 2.265692143309716577e+00 1.406071350956328292e-01 3.341464129776509306e+00 1.997090509803748082e-01
7.186010820588338843e-01 2.039064091522418271e-03 7.355813133959283601e-01 2.948597786624158022e-03 2.303049496334878654e+00 1.398813498953339063e-01 3.219907578427512185e+00 1.989250896174139527e-01
7.176515335792608141e-01 2.050603565650368793e-03 7.367941338676752272e-01 2.884868405652295676e-03 2.288178660309094781e+00 1.418734085874517603e-01 3.191794866601850966e+00 1.913793012403025573e-01
7.172032615366664698e-01 2.045366229898918330e-03 7.375426249123875344e-01 2.904864467047689643e-03 2.283801339878360093e+00 1.419200963694270679e-01 3.166209903075798415e+00 1.927636377668092704e-01
7.176730807607404339e-01 2.064291994005235976e-03 7.356567033322455318e-01 2.821664765746056611e-03 2.281305864550973617e+00 1.437774497477654623e-01 3.147489890206428331e+00 1.859962728458390002e-01
7.185324551934741955e-01 2.074413518582879975e-03 7.334054623162193920e-01 2.795177257374768885e-03 2.358802880445051375e+00 1.458749059350633592e-01 2.952052237721768169e+00 1.836827560942925763e-01
7.208389881473483696e-01 2.105039712417432728e-03 7.288323308923716493e-01 2.738448218676627684e-03 2.564514152598276198e+00 1.487306462389493267e-01 2.620704361062738297e+00 1.806258423602786489e-01
7.215138258131565951e-01 2.112089189446119536e-03 7.276182067432354073e-01 2.738260513424097247e-03 2.597984778158421992e+00 1.492781864652801271e-01 2.565509408297664606e+00 1.807861196665703218e-01
7.224379683678839870e-01 2.129425323317310319e-03 7.257420115406917338e-01 2.696203301408272787e-03 2.666698540018645591e+00 1.515461534441253089e-01 2.429170580269945923e+00 1.782286518363623284e-01
7.231278362480959565e-01 2.118019644576384954e-03 7.251884970692720200e-01 2.720330451392499738e-03 2.722217857266733709e+00 1.504610260898795182e-01 2.391594305206710125e+00 1.791812870593603169e-01
7.235913389741230883e-01 2.121096936712873766e-03 7.247783841830472973e-01 2.707026913341187366e-03 2.754980570257114625e+00 1.505540651930049878e-01 2.376232360270730481e+00 1.773758724799495146e-01
7.234159109110318564e-01 2.125508800558273230e-03 7.249280725818781912e-01 2.695117518973596648e-03 2.734594278789507005e+00 1.500643660170480342e-01 2.413981818918356836e+00 1.774161865125295501e-01
7.227328075099642701e-01 2.114761150044832186e-03 7.261353642666313890e-01 2.723232353482722603e-03 2.704602708496286922e+00 1.493975809291419876e-01 2.442385424645125092e+00 1.782068887221338327e-01
7.224627673362188363e-01 2.112670737679417203e-03 7.267105055063485253e-01 2.723866548386280530e-03 2.690621630448676527e+00 1.489857150959013887e-01 2.486064597878074878e+00 1.786633278822219728e-01
7.220132575530621155e-01 2.110789940957288283e-03 7.272634118286671612e-01 2.714584239660963304e-03 2.662973485432092335e+00 1.479416125602831811e-01 2.510963184520540015e+00 1.787511407719934442e-01
7.215243986873185467e-01 2.114441157432957186e-03 7.281189472169613541e-01 2.706572894003133212e-03 2.627939827865179545e+00 1.497378131370949716e-01 2.569547735750812745e+00 1.776314340187969409e-01
7.203666953659174643e-01 2.120372193915614611e-03 7.294638133165405325e-01 2.701484238572067140e-03 2.569348119136225961e+00 1.513206322137348736e-01 2.604191295753349067e+00 1.739359994509306895e-01
7.206768475568547938e-01 2.112047678185016101e-03 7.290187143574506923e-01 2.718673580746058457e-03 2.619513725513852531e+00 1.506085030664751356e-01 2.534641174180581213e+00 1.769509754408662705e-01
7.205170668886429208e-01 2.103781856541150821e-03 7.294332117233769397e-01 2.731783108740290424e-03 2.590864182113099545e+00 1.496437259046532742e-01 2.579703841784453111e+00 1.750147099072604517e-01
7.220082410917171289e-01 2.098151240016886063e-03 7.269654403166289081e-01 2.750783539771036162e-03 2.684678857821782838e+00 1.471067315324205704e-01 2.422003579497402637e+00 1.813972309672071126e-01
7.210300481542728512e-01 2.105053342117977570e-03 7.285592937777811695e-01 2.747851568224219353e-03 2.583895972311384792e+00 1.468911027872727704e-01 2.576841677502056172e+00 1.812049058499241583e-01
7.231489080564877936e-01 2.073828574824975596e-03 7.248807612297779590e-01 2.829907492882329997e-03 2.585806636583964035e+00 1.400195189262108397e-01 2.570768230831455892e+00 2.007799913656455604e-01
7.220707448366917580e-01 2.090839459230376101e-03 7.258280131615627573e-01 2.835341083133638765e-03 2.518908053685540160e+00 1.394979856748613800e-01 2.683442476771604301e+00 2.044024135659020802e-01
