# [SH0ES_CALIB] This is the data for LCDM distribution with a new set of data for each repetition
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.752507542001124907e-02 1.180329213039553293e+00
2.241369904140710911e-02 1.458989723196552735e+00
1.807071937589721511e-02 1.103690417813278035e+00
1.811470065623954628e-02 1.596957887657848074e+00
1.512127958526643390e-02 1.301068613818982644e+00
1.386027374626097597e-02 9.994992943643797867e-01
2.171891136374604070e-02 1.753929858891853932e+00
2.434726981054891048e-02 1.622391631774405152e+00
1.736815043418826754e-02 1.068462851602998365e+00
1.843773254821612362e-02 1.694657673631726702e+00
2.528997939744115353e-02 1.897602617089930499e+00
1.630807866097006009e-02 1.189833748057407270e+00
1.766140704693142105e-02 1.098713820626608495e+00
2.231692504761684237e-02 1.457210551077698479e+00
1.632160096221446643e-02 9.508851245984974998e-01
2.022480195348652643e-02 1.606569270889554257e+00
1.591541021765385810e-02 1.306681524860540566e+00
2.032494727903910725e-02 1.307348249582707123e+00
1.652507326268193300e-02 1.123168480524349810e+00
1.219818133831984674e-02 9.200571467728431152e-01
1.690542416800411285e-02 1.377963614256392022e+00
2.225846467091374681e-02 1.522205015584084720e+00
1.610211872062072835e-02 1.259154283672326624e+00
1.973557279669990727e-02 1.280579179022676817e+00
2.179334253458420356e-02 1.560206306754423622e+00
1.376083574700692758e-02 1.039472220965268034e+00
1.873384163179592221e-02 1.230187430383380853e+00
1.278406076440996575e-02 1.306762264687861164e+00
1.383447390680281330e-02 1.208028863951656540e+00
2.045022385070116577e-02 1.759532975040660085e+00
2.133840882686077745e-02 1.382301834711175292e+00
1.711468104723357087e-02 1.219429767115922214e+00
2.404851491573911648e-02 1.397221067373228820e+00
1.551714081330879402e-02 1.063852669853419197e+00
1.806356957323795864e-02 1.384127416438526215e+00
2.345502727115944541e-02 1.701044565794902708e+00
1.977314218057735218e-02 1.047338404523326938e+00
1.895438790843317900e-02 1.398224058050251184e+00
1.281370956720728760e-02 1.148821901786634569e+00
2.083614754789131496e-02 1.276547668725545259e+00
1.758456850014789019e-02 1.279740886718050863e+00
1.561433929787880981e-02 1.268435742041971404e+00
1.710842106392840289e-02 1.284799055629503250e+00
1.732976615492765049e-02 1.254889809230791409e+00
