# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.0
#  dw_up dw_down
1.426541050798136645e+00 1.412179224681310963e+00
1.242217217227648662e+00 1.568974691918810338e+00
1.155596779274500330e+00 1.561837869866273820e+00
1.165574504149384127e+00 1.541157961060817927e+00
1.164696913795410183e+00 1.663687056709012069e+00
1.212041189190431911e+00 1.666771736027936823e+00
1.172257524084383773e+00 1.661888321924176015e+00
1.141854681671231386e+00 1.641628691368882009e+00
1.215812938726717141e+00 1.732547308266731312e+00
1.250424138802371354e+00 1.772072184604259970e+00
1.218167680248806617e+00 1.789138231284938430e+00
1.199321882862255828e+00 1.824338106865751374e+00
1.242503455808679158e+00 1.795913823607362847e+00
1.287142544090427609e+00 1.761309896861041446e+00
1.274586899945053808e+00 1.797818680869894603e+00
1.250205878219126765e+00 1.775264855944193920e+00
1.253615717169332955e+00 1.774722968253787503e+00
1.261765472022245982e+00 1.756962578615366422e+00
1.267238284531517101e+00 1.750675488518216971e+00
1.269258621365667805e+00 1.743402889937427869e+00
1.275566137936189781e+00 1.740210102987251650e+00
1.292297133296687495e+00 1.685735405925830932e+00
1.313628042041697030e+00 1.693407106215254254e+00
1.305741162112568299e+00 1.717270815839479159e+00
1.334602360460877657e+00 1.707008449040042786e+00
1.284287818769425549e+00 1.739866516317178924e+00
1.263130423989194062e+00 1.740930496102753633e+00
1.309944427763617414e+00 1.696178631611456877e+00
1.319376434477317561e+00 1.662892850725384619e+00
1.328411780770380579e+00 1.530025224436845299e+00
1.328483536253132646e+00 1.562692385021459129e+00
1.355381258729673410e+00 1.554877093966743340e+00
1.342780003466632621e+00 1.661680538870996537e+00
1.495926390286469232e+00 1.453242871271620107e+00
1.566771368307859902e+00 1.336716171335855519e+00
1.525423614120347438e+00 1.239714802740012001e+00
1.498988440546826117e+00 1.256763907195305618e+00
1.488035832724848184e+00 1.218560739150004846e+00
1.445109061498080383e+00 1.189545724870282983e+00
1.452666962439879805e+00 1.191080727582170651e+00
1.428727648595219613e+00 1.193947804811548163e+00
1.421578802038927725e+00 1.204978539351544198e+00
1.398406523126912493e+00 1.272037605508898217e+00
1.415026409541741526e+00 1.294092923562504938e+00
1.450883116150395002e+00 1.298775942249637438e+00
1.405293164259580063e+00 1.342164358843183747e+00
1.453772819519535853e+00 1.365668930785208790e+00
1.444534811061948920e+00 1.317511458015301784e+00
1.445253667574081025e+00 1.328601425038028916e+00
1.374890919678564360e+00 1.295582725553666048e+00
1.382042364037216142e+00 1.331520338770179945e+00
1.416787927247881829e+00 1.325692418961229135e+00
1.396973378441921598e+00 1.392843237337930251e+00
1.379072323686572732e+00 1.459758541631524631e+00
1.386732895791144005e+00 1.528554373976670711e+00
1.378943665426611176e+00 1.425123741666089350e+00
1.370879432630424777e+00 1.389521554929971536e+00
1.428945337755327394e+00 1.417409451276529841e+00
1.429993858043522303e+00 1.401054614237135620e+00
1.247707283572727643e+00 1.607350908481173013e+00
1.251553308084175420e+00 1.601082895575503873e+00
1.188331197993903743e+00 1.599597188401422398e+00
1.191458584709732760e+00 1.682879524852189945e+00
1.135070830117882679e+00 1.683760540875332889e+00
1.133913585744352970e+00 1.674688076654337943e+00
1.170881940850220460e+00 1.732085698750291725e+00
1.249170151201668411e+00 1.719741413497923199e+00
1.222019828355029647e+00 1.833258854885222000e+00
1.208993731517155279e+00 1.822301050720465110e+00
1.191137846241801856e+00 1.828121722470316124e+00
1.229476346355014904e+00 1.796607733376874849e+00
1.273735671890313226e+00 1.769559682136955026e+00
1.253765709770523706e+00 1.746338342114670317e+00
1.250890376402003401e+00 1.739197024242818079e+00
1.252003629562384202e+00 1.739180123641461906e+00
1.219779653499788230e+00 1.779770625103603621e+00
1.239924307648675672e+00 1.746452174167026472e+00
1.260074928148455786e+00 1.767310507975160982e+00
1.302677965709227559e+00 1.693479472271788966e+00
1.331120765274211637e+00 1.677415536996610390e+00
1.324570593078386205e+00 1.677391559190812842e+00
1.333717489879649110e+00 1.675173290774575108e+00
1.337664606924865440e+00 1.659528388676378752e+00
1.315899951830014292e+00 1.692628851324556871e+00
1.281570416579244531e+00 1.735770733779113728e+00
1.273586916876987996e+00 1.719396993384770145e+00
1.308774976145314684e+00 1.704554829101756264e+00
1.302011082123935459e+00 1.630712486790049764e+00
1.346845756299215768e+00 1.522994977026985941e+00
1.328080878743958415e+00 1.557785718662449082e+00
1.342241918052457628e+00 1.574109254634280086e+00
1.364891572474466797e+00 1.570470898587585040e+00
1.485112112429975983e+00 1.446130144661219585e+00
1.584329818464728978e+00 1.401110646262578197e+00
1.534355208728975795e+00 1.299398502090432617e+00
1.520681802797750892e+00 1.241600642184542469e+00
1.480208201174707972e+00 1.248219023010948225e+00
